M11;M12;M13;M14;M21;M22;M23;M24;M31;M32;M33;M34;M41;M42;M43;M44
-0.999261890642952;1.1111112605833E-08;3.84145012810739E-02;-242.999126772926;-1.11050136882444E-08;-1;3.72141551364748E-10;-52.9999970290005;3.84145012810738E-02;-5.47266923496911E-11;0.999261890642952;-32.9812174876333;0;0;0;1;
-0.999247841349697;5.44428501367308E-08;3.87782356221574E-02;-243.008501475966;-5.4282327159472E-08;-0.999999999999998;5.19239454709637E-09;-52.9999981494878;3.87782356221577E-02;3.08351616991306E-09;0.999247841349699;-32.9807139647219;0;0;0;1;
-0.999233120628536;9.06650256744443E-08;3.91557229399342E-02;-243.018085648662;-9.06531507337486E-08;-0.999999999999996;2.07875032919961E-09;-53.0000024360927;3.91557229399342E-02;-1.47243347530905E-09;0.99923312062854;-32.9801330564678;0;0;0;1;
-0.999217745889487;1.21918591198694E-07;3.95461287551381E-02;-243.028043255772;-1.21952870140814E-07;-0.999999999999992;1.54551643257999E-09;-52.9999978843958;0.039546128755138;-3.27845645864936E-09;0.999217745889494;-32.9795843366301;0;0;0;1;
-0.999201761513709;1.53041032934154E-07;3.99479635009916E-02;-243.038569644779;-1.52928941019365E-07;-0.999999999999988;5.86176767610941E-09;-53.0000019269521;3.99479635009921E-02;-2.52111166534248E-10;0.999201761513721;-32.9791647998281;0;0;0;1;
-0.999185209038957;1.74529671991762E-07;4.03598567607185E-02;-243.049611651786;-1.74705324798612E-07;-0.999999999999985;-8.25188442989234E-10;-53.0000014992438;4.03598567607176E-02;-7.87559797111158E-09;0.999185209038972;-32.9791270873593;0;0;0;1;
-0.999168136788683;1.92104559506764E-07;4.07803191036422E-02;-243.060238073211;-1.92447236132015E-07;-0.999999999999981;-4.47732762786449E-09;-52.9999970012422;4.07803191036405E-02;-1.23216628038034E-08;0.999168136788701;-32.9783297980885;0;0;0;1;
-0.99915060517067;2.05886256523124E-07;4.12076229239473E-02;-243.071325254163;-2.05954016124863E-07;-0.999999999999979;2.60089437410475E-09;-53.000000458178;4.12076229239468E-02;-5.88819024827431E-09;0.999150605170691;-32.9779870268158;0;0;0;1;
-0.999132679860118;2.13389223985654E-07;4.16399812138943E-02;-243.082032046674;-2.13335802249778E-07;-0.999999999999977;5.72651972379792E-09;-52.9999992511983;4.16399812138946E-02;-3.16174580002171E-09;0.999132679860141;-32.9766346301094;0;0;0;1;
-0.999114432035685;2.11198139862827E-07;4.20755475064358E-02;-243.094723602508;-2.11177081311904E-07;-0.999999999999978;4.94515749066661E-09;-52.999999432135;4.20755475064359E-02;-3.94461309939513E-09;0.999114432035707;-32.9778691005758;0;0;0;1;
-0.999095948718262;2.057831967445E-07;4.25121777225579E-02;-243.105362081289;-2.05930574353719E-07;-0.999999999999979;9.12543006451307E-10;-53.0000012765451;4.25121777225572E-02;-7.84283915465708E-09;0.999095948718283;-32.9765172452499;0;0;0;1;
-0.999077318105001;1.8781796306018E-07;0.042947787464346;-243.11722785784;-1.8802869426948E-07;-0.999999999999982;-8.67111894674378E-10;-52.9999994326036;0.042947787464345;-8.9417282249122E-09;0.999077318105019;-32.9769667921701;0;0;0;1;
-0.999058624267199;1.73025007393133E-07;0.04338047115123;-243.127344879731;-1.728484510738E-07;-0.999999999999985;7.82083844687548E-09;-53.0000006491331;4.33804711512307E-02;3.15228854009627E-10;0.999058624267213;-32.9746769982648;0;0;0;1;
-0.999040009390152;1.51204717655175E-07;0.043807072918666;-243.139171392266;-1.50948161111589E-07;-0.999999999999988;9.16439593146225E-09;-52.9999986912702;4.38070729186668E-02;2.54300109666926E-09;0.999040009390164;-32.9752025131111;0;0;0;1;
-0.999021686870898;4.76157314181807E-07;4.42229483571501E-02;-243.150181916144;-4.70525057631526E-07;-0.99999999999988;1.37769588370073E-07;-53.0000048635146;4.42229483572104E-02;1.16826801248595E-07;0.999021686871002;-32.9748754414595;0;0;0;1;
-0.999003840324216;5.56530553645399E-06;4.46242869578515E-02;-243.159890591183;-5.4777491103118E-06;-0.999999999982825;2.08436134592388E-06;-53.0000839235898;4.46242869686853E-02;1.83784434101964E-06;0.999003840337543;-32.9736137986256;0;0;0;1;
-0.998986621162449;2.31252695409519E-05;4.50081126426813E-02;-243.170078712121;-2.26450091952221E-05;-0.999999999681101;1.11803913095569E-05;-53.0004701450336;4.50081128868778E-02;1.01498522129552E-05;0.998986621367545;-32.9728830309341;0;0;0;1;
-0.99897022694422;6.0438018850623E-05;4.53704973111292E-02;-243.179651931059;-5.88038103020897E-05;-0.999999997573401;3.73538550763268E-05;-53.0015841382836;4.53704994586261E-02;3.46474309656446E-05;0.998970228074106;-32.9714602812019;0;0;0;1;
-0.998954884744166;1.24039563250262E-04;4.57069235450844E-02;-243.188353872749;-1.19816187787638E-04;-0.999999988296149;9.51408539309583E-05;-53.0040590540454;4.57069348113675E-02;8.9564991438389E-05;0.998954887914495;-32.9683638246352;0;0;0;1;
-0.998940893079849;2.19986435792571E-04;4.60113435883195E-02;-243.19591634835;-2.10830989545111E-04;-0.999999957000761;2.03835154916039E-04;-53.0087291890091;0.046011386450836;1.93918654593872E-04;0.998940896506108;-32.9615953277789;0;0;0;1;
-0.998928547982719;3.53699216268459E-04;4.62777583943072E-02;-243.203141914324;-3.36195788555211E-04;-0.999999868984982;3.86008303967141E-04;-53.0165827055486;4.62778888620605E-02;3.70036327115226E-04;0.998928536020264;-32.952454600545;0;0;0;1;
-0.998918196998511;5.30737151732035E-04;4.64989679812235E-02;-243.209372487762;-5.00328795384745E-04;-0.999999653327867;6.65593902225626E-04;-53.0286524316921;0.046499305116739;6.41609088107746E-04;0.998918116244489;-32.9384341906716;0;0;0;1;
-0.998910207852952;7.56854305106815E-04;4.66671599600001E-02;-243.213613203588;-7.07846159072614E-04;-0.99999918057335;1.06668010386222E-03;-53.0459784664073;4.66679290411145E-02;1.0324844743291E-03;0.99890992505572;-32.9175161752028;0;0;0;1;
-0.998904931052431;1.03800602952884E-03;4.67745792350933E-02;-243.216369219997;-9.63591333232775E-04;-0.999998234147058;1.61344182056513E-03;-53.0696153816421;4.67761714004029E-02;1.56660341136217E-03;0.998904167346834;-32.8890555010603;0;0;0;1;
-0.998902242284322;1.38010310489617E-03;4.68231318343222E-02;-243.217366836052;-1.27238992879819E-03;-0.999996475697882;2.3301535754897E-03;-53.1005938145516;4.68261826676438E-02;2.26801835004271E-03;0.998900477880324;-32.8515357525266;0;0;0;1;
-0.998900891968019;1.7888468401473E-03;4.68381047062909E-02;-243.21753081751;-1.63882416193016E-03;-0.999993404385415;3.24120981034952E-03;-53.1399524204704;4.68435938081318E-02;3.16088795292194E-03;0.998897235208151;-32.8027293521664;0;0;0;1;
-0.998899763339694;2.27013363318156E-03;4.68413203613018E-02;-243.21781069799;-2.06763010996223E-03;-0.999988308775146;4.37118047578926E-03;-53.1887395005428;0.046850695892708;4.26952061841157E-03;0.998892778774608;-32.7443989633375;0;0;0;1;
